ID,LUCODES_IDENTIFIER,CODE_TYPE,CODE_NAME,ABBREVIATION,DESCRIPTION,SORT_ORDER,R_SEG,CY
154,9430022,LIFE_SAFETY_HEALTH_THREAT_TYPE,Quarantine in Progress,QP,,13,,2020
155,9430023,LIFE_SAFETY_HEALTH_THREAT_TYPE,Area Restriction in Effect,AR,,14,,2020
156,9430024,STRUCTURE_SUMMARY_TYPE,Single Residences,SR,,1,,2020
157,9430025,NORTH_AMERICAN_TIME_ZONE,US/Samoa,SST,US/Samoa (SST),8,,2020
158,9430026,NORTH_AMERICAN_TIME_ZONE,US/Arizona,MST,US/Arizona (MST),9,,2020
159,9430027,NORTH_AMERICAN_TIME_ZONE,America/Puerto_Rico,AST,America/Puerto_Rico (AST),10,,2020
160,9430028,NORTH_AMERICAN_TIME_ZONE,Canada/Newfoundland,NST/NDT,Canada/Newfoundland (NST/NDT),11,,2020
161,9430029,PRINCIPAL_MERIDIAN,1st Principal Meridian,01,,1,,2020
162,9430030,PRINCIPAL_MERIDIAN,2nd Principal Meridian,02,,2,,2020
163,9430031,PRINCIPAL_MERIDIAN,3rd Principal Meridian,03,,3,,2020
164,9430032,PRINCIPAL_MERIDIAN,4th Principal Meridian,04,,4,,2020
165,9430033,PRINCIPAL_MERIDIAN,5th Principal Meridian,05,,5,,2020
166,9430034,PRINCIPAL_MERIDIAN,6th Principal Meridian,06,,6,,2020
167,9430035,PRINCIPAL_MERIDIAN,Mt. Diablo,21,,21,,2020
168,9430036,PRINCIPAL_MERIDIAN,New Mexico,23,,23,,2020
169,9430037,PRINCIPAL_MERIDIAN,Ohio,35,,35,,2020
170,9430038,PRINCIPAL_MERIDIAN,Great Miami River,36,,36,,2020
171,9430039,PRINCIPAL_MERIDIAN,Muskingum River,37,,37,,2020
172,9430040,PRINCIPAL_MERIDIAN,Ohio River,38,,38,,2020
173,9430041,PRINCIPAL_MERIDIAN,1st Scioto River,39,,39,,2020
174,9430042,PRINCIPAL_MERIDIAN,2nd Scioto River,40,,40,,2020
175,9430043,PRINCIPAL_MERIDIAN,3rd Scioto River,41,,41,,2020
176,9430044,PRINCIPAL_MERIDIAN,Ellicotts Line,42,,42,,2020
177,9430045,PRINCIPAL_MERIDIAN,12 Mile Square,43,,43,,2020
178,9430046,WORLD_TIME_ZONE,US/Central,,US/Central,40,,2020
179,9430047,WORLD_TIME_ZONE,US/East-Indiana,,US/East-Indiana,50,,2020
180,9430048,WORLD_TIME_ZONE,US/Eastern,,US/Eastern,60,,2020
181,9430049,WORLD_TIME_ZONE,US/Hawaii,,US/Hawaii,70,,2020
182,9430050,WORLD_TIME_ZONE,US/Indiana-Starke,,US/Indiana-Starke,80,,2020
183,9430051,WORLD_TIME_ZONE,US/Michigan,,US/Michigan,90,,2020
184,9430052,WORLD_TIME_ZONE,US/Mountain,,US/Mountain,100,,2020
185,9430053,WORLD_TIME_ZONE,US/Pacific,,US/Pacific,110,,2020
186,9430054,WORLD_TIME_ZONE,US/Pacific-New,,US/Pacific-New,120,,2020
187,9430055,WORLD_TIME_ZONE,US/Samoa,,US/Samoa,130,,2020
188,9430056,WORLD_TIME_ZONE,Canada/Atlantic,,Canada/Atlantic,140,,2020
189,9430057,WORLD_TIME_ZONE,Canada/Central,,Canada/Central,150,,2020
190,9430058,WORLD_TIME_ZONE,Canada/East-Saskatchewan,,Canada/East-Saskatchewan,160,,2020
191,9430059,WORLD_TIME_ZONE,Canada/Eastern,,Canada/Eastern,170,,2020
192,9430060,WORLD_TIME_ZONE,Canada/Mountain,,Canada/Mountain,180,,2020
193,9430061,WORLD_TIME_ZONE,Canada/Newfoundland,,Canada/Newfoundland,190,,2020
194,9430062,WORLD_TIME_ZONE,Canada/Pacific,,Canada/Pacific,200,,2020
195,9430063,WORLD_TIME_ZONE,Canada/Saskatchewan,,Canada/Saskatchewan,210,,2020
196,9429837,UTM_ZONE,UTM Zone 18,18,Zone Range:  78W -  72W      Central Meridian:  75W,18,,2020
197,9429838,UTM_ZONE,UTM Zone 19,19,Zone Range:  72W -  66W      Central Meridian:  69W,19,,2020
198,9429839,UTM_ZONE,UTM Zone 20,20,Zone Range:  66W -  60W      Central Meridian:  63W,20,,2020
199,9429840,UTM_ZONE,UTM Zone 21,21,Zone Range:  60W -  54W      Central Meridian:  57W,21,,2020
200,9429841,SIT_FSTAT_CATEGORY,Human-Caused,H,,1,,2020
201,9429842,SIT_FSTAT_CATEGORY,Lightning/Natural-Caused,L,,2,,2020
202,9429843,SIT_FSTAT_CATEGORY,Prescribed,RX,,3,,2020
203,9429844,PRINCIPAL_MERIDIAN,Black Hills,07,,7,,2020
204,9429845,PRINCIPAL_MERIDIAN,Boise,08,,8,,2020
205,9429846,PRINCIPAL_MERIDIAN,Chickasaw,09,,9,,2020
206,9429847,PRINCIPAL_MERIDIAN,Choctaw,10,,10,,2020
207,9429848,PRINCIPAL_MERIDIAN,Cimarron,11,,11,,2020
208,9429849,PRINCIPAL_MERIDIAN,Copper River,12,,12,,2020
209,9429850,PRINCIPAL_MERIDIAN,Fairbanks,13,,13,,2020
210,9429851,PRINCIPAL_MERIDIAN,Fifth Principal,,,8,,2020
211,9429852,PRINCIPAL_MERIDIAN,First Principal,,,9,,2020
212,9429853,PRINCIPAL_MERIDIAN,Fourth Principal,,,10,,2020
213,9429854,PRINCIPAL_MERIDIAN,Gila and Salt River,14,,14,,2020
214,9429855,PRINCIPAL_MERIDIAN,Humboldt,15,,15,,2020
215,9429856,PRINCIPAL_MERIDIAN,Huntsville,16,,16,,2020
216,9429857,PRINCIPAL_MERIDIAN,Indian,17,,17,,2020
217,9429858,PRINCIPAL_MERIDIAN,Kateel River,44,,44,,2020
218,9429859,PRINCIPAL_MERIDIAN,Louisiana,18,,18,,2020
219,9429860,PRINCIPAL_MERIDIAN,Michigan,19,,19,,2020
220,9429861,PRINCIPAL_MERIDIAN,Mount Diablo,,,19,,2020
221,9429862,PRINCIPAL_MERIDIAN,Navajo,22,,22,,2020
222,9429863,PRINCIPAL_MERIDIAN,New Mexico Principal,,,21,,2020
223,9429864,IRWIN_RESOURCE_TYPE,Heavy (Type 1),,Heavy (Type 1),2,,2020
224,9429865,IRWIN_RESOURCE_TYPE,Medium (Type 2),,Medium (Type 2),3,,2020
225,9429866,IRWIN_RESOURCE_TYPE,Light (Type 3),,Light (Type 3),4,,2020
226,9429867,IRWIN_RESOURCE_TYPE,VLAT,,VLAT,5,,2020
227,9429868,IRWIN_RESOURCE_TYPE,Fire,,Fire,6,,2020
228,9429869,IRWIN_RESOURCE_TYPE,"Handcrew, Type 1",,"Handcrew, Type 1",7,,2020
229,9429870,IRWIN_RESOURCE_TYPE,"Handcrew, Type 2",,"Handcrew, Type 2",8,,2020
230,9429871,IRWIN_RESOURCE_TYPE,"Handcrew, Type 2/IA",,"Handcrew, Type 2/IA",9,,2020
231,9429872,IRWIN_RESOURCE_TYPE,All Types,,All Types,10,,2020
232,9429873,IRWIN_RESOURCE_TYPE,"Engine, Type 1",,"Engine, Type 1",11,,2020
233,9429874,PRINCIPAL_MERIDIAN,Principal,20,,20,,2020
234,9429875,PRINCIPAL_MERIDIAN,Salt Lake,26,,26,,2020
235,9429876,PRINCIPAL_MERIDIAN,San Bernardino,27,,27,,2020
236,9429877,PRINCIPAL_MERIDIAN,Second Principal,,,25,,2020
237,9429878,PRINCIPAL_MERIDIAN,Seward,28,,28,,2020
238,9429879,PRINCIPAL_MERIDIAN,Sixth Principal,,,27,,2020
239,9429880,PRINCIPAL_MERIDIAN,St. Helena,24,,24,,2020
240,9429881,PRINCIPAL_MERIDIAN,St. Stephens,25,,25,,2020
241,9429882,PRINCIPAL_MERIDIAN,Tallahassee,29,,29,,2020
242,9429883,PRINCIPAL_MERIDIAN,Third Principal,,,31,,2020
243,9429884,PRINCIPAL_MERIDIAN,Uintah,30,,30,,2020
244,9429885,PRINCIPAL_MERIDIAN,Umiat,45,,45,,2020
245,9429886,PRINCIPAL_MERIDIAN,Ute,31,,31,,2020
246,9429887,PRINCIPAL_MERIDIAN,Washington,32,,32,,2020
247,9429888,PRINCIPAL_MERIDIAN,Willamette,33,,33,,2020
248,9429889,PRINCIPAL_MERIDIAN,Wind River,34,,34,,2020
249,9429890,AREA_UOM,Acres,ACRES,,1,,2020
250,9429891,AREA_UOM,Hectares,HECTARES,,2,,2020
251,9429892,AREA_UOM,Square Kilometers,SQ KM,,3,,2020
252,9429893,AREA_UOM,Square Miles,SQ MILES,,4,,2020
253,9429894,AR,Acres,ACRES,,1,,2020
254,9429895,AR,Square Miles,SQ MILES,,2,,2020
255,9429896,AR,Hectares,HECTARES,,3,,2020
256,9429897,AR,Square Kilometers,SQ KM,,4,,2020
257,9429898,CA,Human,H,,1,,2020
258,9429899,CA,Lightning/Natural,L,,2,,2020
259,9429900,CA,Other,O,,3,,2020
260,9429901,CA,Unknown,U,,4,,2020
261,9429902,FM,1 Short grass (1 Foot),1,,1,,2020
262,9429903,FM,2 Timber (grass and understory),2,,2,,2020
263,9429904,FM,3 Tall Grass (2.5 Feet),3,,3,,2020
264,9429905,FM,4 Chaparral (6 Feet),4,,4,,2020
265,9429906,FM,5 Brush (2 Feet),5,,5,,2020
266,9429907,FM,"6 Dormant Brush, Hardwood Slash",6,,6,,2020
267,9429908,FM,7 Southern Rough,7,,7,,2020
268,9429909,FM,8 Closed Timber Litter,8,,8,,2020
269,9429910,FM,9 Hardwood Litter,9,,9,,2020
270,9429911,FM,10 Timber (litter and understory),10,,10,,2020
271,9429912,FM,11 Light Logging Slash,11,,11,,2020
272,9429913,FM,12 Medium Logging Slash,12,,12,,2020
273,9429914,FM,Heavy Logging Slash,13,,13,,2020
274,9429915,TT,Type 1 Team,1,,1,,2020
275,9429916,INCIDENT_TYPE,Community Event,CM,,,,2020
276,9429917,TT,Type 2 Team,2,,3,,2020
277,9429918,INCIDENT_TYPE,Explosives or Electrical Danger,EX,,,,2020
278,9429919,TT,Type 3 Team,3,,5,,2020
279,9429920,TT,Type 3 IC,4,,6,,2020
280,9429921,TT,Type 4 IC,5,,7,,2020
281,9429922,TT,Type 5 IC,6,,8,,2020
282,9429923,TT,Area Command,C,,9,,2020
283,9429924,INCIDENT_TYPE,"Flammable Gas, Oil, and other liquids conditions",FG,,,,2020
284,9429925,INCIDENT_TYPE,Hurricane/Typhoon,HU,,,,2020
285,9429926,RESOURCE_TYPE,ALS Ambulance,AMBL,ALS Ambulance,130,,2020
286,9429927,RESOURCE_TYPE,Decontamination Unit,DECON,Decontamination Unit,150,,2020
287,9429928,RESOURCE_TYPE,Dozer,DOZR,Dozer,140,,2020
288,9429929,RESOURCE_TYPE,"Engine, Type 1",ENG1,"Engine, Type 1",70,,2020
289,9429930,RESOURCE_TYPE,"Engine, Type 2",ENG2,"Engine, Type 2",80,,2020
290,9429931,RESOURCE_TYPE,"Engine, Type 3",ENG3,"Engine, Type 3",90,,2020
291,9429932,RESOURCE_TYPE,"Engine, Type 4",ENG4,"Engine, Type 4",100,,2020
292,9429933,RESOURCE_TYPE,"Engine, Type 5",ENG5,"Engine, Type 5",110,,2020
293,9429934,RESOURCE_TYPE,"Engine, Type 6",ENG6,"Engine, Type 6",120,,2020
294,9429935,RESOURCE_TYPE,"Fixed Wing, Recon",FWRE,"Fixed Wing, Recon",160,,2020
295,9429936,RESOURCE_TYPE,Food Dispensing Unit,FDU,Food Dispensing Unit,190,,2020
296,9429937,RESOURCE_TYPE,"Crew, Type 1",CR1,"Crew, Type 1",10,,2020
297,9429938,RESOURCE_TYPE,"Crew, Type 2",CR2,"Crew, Type 2",20,,2020
298,9429939,RESOURCE_TYPE,"Crew, Type 2IA",CR2IA,"Crew, Type 2IA",30,,2020
299,9429940,RESOURCE_TYPE,"Helicopter, Type 1",HEL1,"Helicopter, Type 1",40,,2020
300,9429941,RESOURCE_TYPE,"Helicopter, Type 2",HEL2,"Helicopter, Type 2",50,,2020
301,9429942,RESOURCE_TYPE,"Helicopter, Type 3",HEL3,"Helicopter, Type 3",60,,2020
302,9429943,RESOURCE_TYPE,"Laundry, Mobile",MLAU,"Laundry, Mobile",210,,2020
303,9429944,RESOURCE_TYPE,GIS Unit,GISU,GIS Unit,230,,2020
304,9429945,RESOURCE_TYPE,Mobile Coroner Unit,MCU,Mobile Coroner Unit,170,,2020
305,9429946,RESOURCE_TYPE,Mobile Communications Center,MCC,Mobile Communications Center,180,,2020
